Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
-3.0574E-1	2.5806E-1	-3.0574E-1	2.2300E+2
-3.0562E-1	2.5586E-1	-3.0562E-1	-7.0000E+1
-3.0550E-1	2.5659E-1	-3.0550E-1	1.2790E+3
-3.0550E-1	2.5635E-1	-3.0550E-1	3.2500E+2
-3.0538E-1	2.5635E-1	-3.0538E-1	5.1400E+2
-3.0526E-1	2.5537E-1	-3.0526E-1	2.1400E+2
-3.0513E-1	2.5464E-1	-3.0513E-1	3.8000E+2
-3.0501E-1	2.5439E-1	-3.0501E-1	7.2000E+2
-3.0489E-1	2.5366E-1	-3.0489E-1	4.2100E+2
-3.0477E-1	2.5366E-1	-3.0477E-1	-2.8000E+1
-3.0465E-1	2.5317E-1	-3.0465E-1	3.4900E+2
-3.0465E-1	2.5366E-1	-3.0465E-1	9.0000E+2
-3.0452E-1	2.5317E-1	-3.0452E-1	2.0700E+2
-3.0440E-1	2.5366E-1	-3.0440E-1	1.6800E+2
-3.0428E-1	2.5269E-1	-3.0428E-1	7.4000E+2
-3.0416E-1	2.5244E-1	-3.0416E-1	1.2100E+2
-3.0403E-1	2.5317E-1	-3.0403E-1	-3.9000E+1
-3.0391E-1	2.5171E-1	-3.0391E-1	6.4900E+2
-3.0391E-1	2.5244E-1	-3.0391E-1	6.7800E+2
-3.0379E-1	2.5244E-1	-3.0379E-1	7.9400E+2
-3.0367E-1	2.5049E-1	-3.0367E-1	4.9400E+2
-3.0355E-1	2.5024E-1	-3.0355E-1	5.4200E+2
-3.0342E-1	2.5049E-1	-3.0342E-1	4.0000E+2
-3.0330E-1	2.5000E-1	-3.0330E-1	-4.6000E+1
-3.0318E-1	2.4731E-1	-3.0318E-1	-8.0000E+0
-3.0306E-1	2.5073E-1	-3.0306E-1	9.9000E+1
-3.0306E-1	2.4878E-1	-3.0306E-1	5.9500E+2
-3.0294E-1	2.4878E-1	-3.0294E-1	6.2200E+2
-3.0281E-1	2.4780E-1	-3.0281E-1	4.4500E+2
-3.0269E-1	2.4683E-1	-3.0269E-1	4.0700E+2
-3.0257E-1	2.4707E-1	-3.0257E-1	4.2900E+2
-3.0245E-1	2.4536E-1	-3.0245E-1	4.4300E+2
-3.0233E-1	2.4634E-1	-3.0233E-1	2.2700E+2
-3.0233E-1	2.4585E-1	-3.0233E-1	8.8200E+2
-3.0220E-1	2.4512E-1	-3.0220E-1	4.0900E+2
-3.0208E-1	2.4438E-1	-3.0208E-1	4.8500E+2
-3.0196E-1	2.4512E-1	-3.0196E-1	4.4400E+2
-3.0184E-1	2.4585E-1	-3.0184E-1	-1.9000E+1
-3.0172E-1	2.4414E-1	-3.0172E-1	4.0000E+2
-3.0159E-1	2.4463E-1	-3.0159E-1	6.9500E+2
-3.0147E-1	2.4219E-1	-3.0147E-1	1.5200E+2
-3.0147E-1	2.4243E-1	-3.0147E-1	1.5900E+2
-3.0135E-1	2.4365E-1	-3.0135E-1	2.5000E+1
-3.0123E-1	2.4292E-1	-3.0123E-1	2.9400E+2
-3.0110E-1	2.4194E-1	-3.0110E-1	5.2200E+2
