Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
-4.8508E-1	6.2524E-1	-4.8508E-1	-1.9200E+2
-4.8495E-1	6.2476E-1	-4.8495E-1	2.3000E+1
-4.8471E-1	6.2476E-1	-4.8471E-1	1.8000E+1
-4.8459E-1	6.2280E-1	-4.8459E-1	-5.9000E+1
-4.8447E-1	6.2305E-1	-4.8447E-1	4.7300E+2
-4.8434E-1	6.2354E-1	-4.8434E-1	-1.8800E+2
-4.8410E-1	6.2231E-1	-4.8410E-1	0.0000E+0
-4.8398E-1	6.2256E-1	-4.8398E-1	6.3300E+2
-4.8386E-1	6.2134E-1	-4.8386E-1	3.2500E+2
-4.8361E-1	6.2012E-1	-4.8361E-1	6.4900E+2
-4.8349E-1	6.2061E-1	-4.8349E-1	-4.2500E+2
-4.8337E-1	6.2012E-1	-4.8337E-1	-2.6800E+2
-4.8324E-1	6.1987E-1	-4.8324E-1	-1.6300E+2
-4.8300E-1	6.1963E-1	-4.8300E-1	-6.5800E+2
-4.8288E-1	6.1963E-1	-4.8288E-1	-6.5400E+2
-4.8276E-1	6.1987E-1	-4.8276E-1	1.7600E+2
-4.8263E-1	6.1890E-1	-4.8263E-1	-2.9000E+2
-4.8239E-1	6.1841E-1	-4.8239E-1	-2.7000E+2
-4.8227E-1	6.1841E-1	-4.8227E-1	-2.2800E+2
-4.8215E-1	6.1768E-1	-4.8215E-1	-1.2300E+2
-4.8190E-1	6.1816E-1	-4.8190E-1	-7.3300E+2
-4.8178E-1	6.1768E-1	-4.8178E-1	-1.9400E+2
-4.8166E-1	6.1646E-1	-4.8166E-1	2.1000E+2
-4.8154E-1	6.1743E-1	-4.8154E-1	-3.4800E+2
-4.8129E-1	6.1621E-1	-4.8129E-1	-1.5200E+2
-4.8117E-1	6.1914E-1	-4.8117E-1	-1.7000E+1
-4.8105E-1	6.1841E-1	-4.8105E-1	2.4000E+1
-4.8093E-1	6.1670E-1	-4.8093E-1	5.9000E+1
-4.8068E-1	6.1816E-1	-4.8068E-1	-3.5000E+1
-4.8056E-1	6.1719E-1	-4.8056E-1	3.5800E+2
-4.8044E-1	6.1670E-1	-4.8044E-1	7.5000E+1
-4.8019E-1	6.1841E-1	-4.8019E-1	-3.3400E+2
-4.8007E-1	6.1841E-1	-4.8007E-1	-2.1300E+2
-4.7995E-1	6.1816E-1	-4.7995E-1	8.8000E+1
-4.7970E-1	6.1987E-1	-4.7970E-1	-2.9400E+2
-4.7958E-1	6.2109E-1	-4.7958E-1	-5.0000E+1
-4.7946E-1	6.2012E-1	-4.7946E-1	-6.2900E+2
-4.7934E-1	6.2061E-1	-4.7934E-1	-9.8700E+2
-4.7922E-1	6.2134E-1	-4.7922E-1	-3.5200E+2
-4.7897E-1	6.2329E-1	-4.7897E-1	-6.5000E+1
-4.7885E-1	6.2378E-1	-4.7885E-1	-9.2300E+2
-4.7873E-1	6.2598E-1	-4.7873E-1	-9.5100E+2
-4.7848E-1	6.2646E-1	-4.7848E-1	-4.8400E+2
-4.7836E-1	6.2891E-1	-4.7836E-1	-7.9700E+2
-4.7824E-1	6.3013E-1	-4.7824E-1	-1.1080E+3
-4.7800E-1	6.3232E-1	-4.7800E-1	-1.1370E+3
-4.7787E-1	6.3550E-1	-4.7787E-1	-9.4400E+2
-4.7775E-1	6.3623E-1	-4.7775E-1	-1.2810E+3
-4.7763E-1	6.4331E-1	-4.7763E-1	-2.1760E+3
-4.7751E-1	6.4502E-1	-4.7751E-1	-1.5870E+3
-4.7726E-1	6.4795E-1	-4.7726E-1	-1.7290E+3
-4.7714E-1	6.4990E-1	-4.7714E-1	-2.5650E+3
-4.7702E-1	6.5527E-1	-4.7702E-1	-2.6670E+3
-4.7677E-1	6.5747E-1	-4.7677E-1	-3.0460E+3
-4.7665E-1	6.6455E-1	-4.7665E-1	-2.7860E+3
